event_time_ns,event_time,instrument_id,action,quantity,reason
1717969800000000000,2024-06-09T21:50:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717973700000000000,2024-06-09T22:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717982400000000000,2024-06-10T01:20:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717992900000000000,2024-06-10T04:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718008800000000000,2024-06-10T08:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718010300000000000,2024-06-10T09:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718013600000000000,2024-06-10T10:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718015700000000000,2024-06-10T10:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718016900000000000,2024-06-10T10:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718019000000000000,2024-06-10T11:30:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718019600000000000,2024-06-10T11:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718024400000000000,2024-06-10T13:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718026800000000000,2024-06-10T13:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718046000000000000,2024-06-10T19:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718064300000000000,2024-06-11T00:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718067300000000000,2024-06-11T00:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718111700000000000,2024-06-11T13:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718113500000000000,2024-06-11T13:45:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718129700000000000,2024-06-11T18:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718152200000000000,2024-06-12T00:30:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718158200000000000,2024-06-12T02:10:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718170500000000000,2024-06-12T05:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718177400000000000,2024-06-12T07:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718215500000000000,2024-06-12T18:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718240100000000000,2024-06-13T00:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718241600000000000,2024-06-13T01:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718263500000000000,2024-06-13T07:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718268300000000000,2024-06-13T08:45:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718275500000000000,2024-06-13T10:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718287800000000000,2024-06-13T14:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718313300000000000,2024-06-13T21:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718320200000000000,2024-06-13T23:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718330700000000000,2024-06-14T02:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718341200000000000,2024-06-14T05:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718341500000000000,2024-06-14T05:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718358000000000000,2024-06-14T09:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718364600000000000,2024-06-14T11:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718374500000000000,2024-06-14T14:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718396700000000000,2024-06-14T20:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718434500000000000,2024-06-15T06:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718442300000000000,2024-06-15T09:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718460300000000000,2024-06-15T14:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718464500000000000,2024-06-15T15:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718471100000000000,2024-06-15T17:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718473500000000000,2024-06-15T17:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718475300000000000,2024-06-15T18:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718481000000000000,2024-06-15T19:50:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718481600000000000,2024-06-15T20:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718492400000000000,2024-06-15T23:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718496900000000000,2024-06-16T00:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718497500000000000,2024-06-16T00:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718499300000000000,2024-06-16T00:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718513400000000000,2024-06-16T04:50:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718549700000000000,2024-06-16T14:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718552700000000000,2024-06-16T15:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718556300000000000,2024-06-16T16:45:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718562600000000000,2024-06-16T18:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718566200000000000,2024-06-16T19:30:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718570700000000000,2024-06-16T20:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718571000000000000,2024-06-16T20:50:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718575500000000000,2024-06-16T22:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718586300000000000,2024-06-17T01:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718600700000000000,2024-06-17T05:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718604300000000000,2024-06-17T06:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718610300000000000,2024-06-17T07:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718611500000000000,2024-06-17T08:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718635500000000000,2024-06-17T14:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718637300000000000,2024-06-17T15:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718641500000000000,2024-06-17T16:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718654700000000000,2024-06-17T20:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718665500000000000,2024-06-17T23:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718667000000000000,2024-06-17T23:30:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718685300000000000,2024-06-18T04:35:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718699100000000000,2024-06-18T08:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718700600000000000,2024-06-18T08:50:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718723100000000000,2024-06-18T15:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718744100000000000,2024-06-18T20:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718755800000000000,2024-06-19T00:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718758800000000000,2024-06-19T01:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718781900000000000,2024-06-19T07:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718792100000000000,2024-06-19T10:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718792700000000000,2024-06-19T10:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718794200000000000,2024-06-19T10:50:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718823300000000000,2024-06-19T18:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718832000000000000,2024-06-19T21:20:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718837400000000000,2024-06-19T22:50:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718842500000000000,2024-06-20T00:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718849400000000000,2024-06-20T02:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718850600000000000,2024-06-20T02:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718888400000000000,2024-06-20T13:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718906700000000000,2024-06-20T18:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718923200000000000,2024-06-20T22:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718934000000000000,2024-06-21T01:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718955900000000000,2024-06-21T07:45:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718976900000000000,2024-06-21T13:35:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1718984700000000000,2024-06-21T15:45:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1718992500000000000,2024-06-21T17:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719005100000000000,2024-06-21T21:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719015300000000000,2024-06-22T00:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719016500000000000,2024-06-22T00:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719020700000000000,2024-06-22T01:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719040500000000000,2024-06-22T07:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719042300000000000,2024-06-22T07:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719044400000000000,2024-06-22T08:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719059100000000000,2024-06-22T12:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719061800000000000,2024-06-22T13:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719066000000000000,2024-06-22T14:20:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719083400000000000,2024-06-22T19:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719086700000000000,2024-06-22T20:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719099600000000000,2024-06-22T23:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719101700000000000,2024-06-23T00:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719116700000000000,2024-06-23T04:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719124800000000000,2024-06-23T06:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719126300000000000,2024-06-23T07:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719126900000000000,2024-06-23T07:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719150300000000000,2024-06-23T13:45:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719169800000000000,2024-06-23T19:10:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719174000000000000,2024-06-23T20:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719215100000000000,2024-06-24T07:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719220500000000000,2024-06-24T09:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719236400000000000,2024-06-24T13:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719243600000000000,2024-06-24T15:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719267900000000000,2024-06-24T22:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719294600000000000,2024-06-25T05:50:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719308100000000000,2024-06-25T09:35:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719319800000000000,2024-06-25T12:50:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719321900000000000,2024-06-25T13:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719333000000000000,2024-06-25T16:30:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719336300000000000,2024-06-25T17:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719338400000000000,2024-06-25T18:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719340200000000000,2024-06-25T18:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719356100000000000,2024-06-25T22:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719364500000000000,2024-06-26T01:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719376500000000000,2024-06-26T04:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719386400000000000,2024-06-26T07:20:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719390000000000000,2024-06-26T08:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719400200000000000,2024-06-26T11:10:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719416100000000000,2024-06-26T15:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719432000000000000,2024-06-26T20:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719441300000000000,2024-06-26T22:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719447900000000000,2024-06-27T00:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719465900000000000,2024-06-27T05:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719476100000000000,2024-06-27T08:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719477000000000000,2024-06-27T08:30:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719478800000000000,2024-06-27T09:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719492300000000000,2024-06-27T12:45:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719493500000000000,2024-06-27T13:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719500700000000000,2024-06-27T15:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719508500000000000,2024-06-27T17:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
